trial,spike_time_s
3,6.4572
3,6.463433
3,6.993333
3,6.9989
3,7.004533
3,7.013667
3,7.3441
3,7.348867
3,7.353333
3,7.471
3,7.477433
3,7.485633
3,8.204633
3,8.211933
3,8.564067
3,8.5691
3,8.577067
3,8.584
3,9.082367
3,9.109433
3,9.1261
3,9.138033
3,9.361967
3,9.3709
3,9.418833
3,9.609967
3,9.618133
3,9.800967
3,10.026133
3,10.030967
3,10.121767
3,10.125933
3,10.132133
3,10.1382
3,10.1437
3,10.245
3,10.2506
3,10.2686
3,10.276933
3,10.281867
3,10.288467
3,10.325267
3,10.377
3,10.380467
3,10.461633
3,10.468433
3,10.473867
3,10.538633
3,10.569
3,10.6113
3,10.615567
3,10.620867
3,10.7606
3,10.798867
3,10.808067
3,10.827433
3,10.920833
3,10.9267
3,10.9478
3,10.9538
3,10.966033
3,10.9729
3,11.057333
3,11.064233
3,11.152967
3,11.161233
3,11.458167
3,11.504733
3,11.518067
3,11.5263
3,11.559667
3,11.5714
3,11.636433
3,11.643367
3,11.6568
3,11.6641
3,11.6693
3,11.704733
3,11.7111
3,11.7161
3,11.8568
3,11.867467
3,11.872933
3,11.891367
3,12.006733
3,12.0484
3,12.673067
3,12.680067
3,12.685067
3,13.0412
3,13.7824
3,13.786667
3,13.7896
3,13.866767
3,13.8799
3,14.760067
3,14.766
4,0.084933
4,0.090067
4,0.0957
4,0.1004
4,0.591767
4,0.7419
4,0.7511
4,0.923267
4,1.280733
4,1.2871
4,1.290933
4,1.487633
4,1.830933
4,1.9382
4,1.9601
4,2.178133
4,2.373767
4,2.3779
4,2.382967
4,2.385633
4,2.388467
4,2.6166
4,2.623767
4,2.723833
4,2.851433
4,3.0652
4,3.069233
4,3.110333
4,3.113967
4,3.344067
4,3.368467
4,3.378333
4,3.3981
4,3.404367
4,3.409767
4,3.441167
4,3.4594
4,3.464433
4,3.475133
4,3.579267
4,3.584833
4,3.5907
4,3.597033
4,3.604367
4,3.659333
4,3.684
4,3.6988
4,3.809633
4,3.812667
4,3.820767
4,3.8761
4,3.987733
4,3.994833
4,4.033167
4,4.045433
4,4.052567
4,4.109133
4,4.116667
4,4.121467
4,4.232067
4,4.239167
4,4.2521
4,4.2739
4,4.2815
4,4.3006
4,4.308533
4,4.309633
4,4.310167
4,4.319167
4,4.387533
4,4.395
4,4.4573
4,4.4632
4,4.492533
4,4.5082
4,4.5161
4,4.521467
4,4.545567
4,4.551033
4,4.575233
4,4.6156
4,4.777533
4,4.786033
4,4.793833
4,4.800633
4,4.826233
4,4.844967
4,4.8549
4,4.862067
4,4.918667
4,4.9295
4,4.9414
4,4.955867
4,4.9717
4,4.983633
4,5.045433
4,5.056
4,5.154067
4,5.160533
4,5.169133
4,5.194267
4,5.2944
4,5.364667
4,5.370533
4,5.379667
4,5.537033
4,5.589733
4,5.596133
4,5.6051
4,5.632267
4,5.6501
4,5.688833
4,5.6958
4,5.704267
4,5.857433
4,5.866433
4,5.882467
4,5.888967
4,5.987067
4,6.589967
4,6.782967
4,7.1307
4,7.157633
4,7.164833
4,7.486267
4,7.494567
4,7.915833
4,8.098233
4,8.300033
4,8.304067
4,8.3078
4,8.5142
4,8.5221
4,8.527833
4,8.5351
4,8.888767
4,8.894567
4,8.8998
4,9.044333
4,9.0508
4,9.0645
4,9.070367
4,9.3533
4,9.364967
4,9.377133
4,9.419233
4,9.4249
4,9.5943
4,9.621733
4,9.7473
4,9.765967
4,9.774067
4,9.803767
4,10.0714
4,10.113333
4,10.1187
4,10.122833
4,10.235233
4,10.2427
4,10.255567
4,10.262
4,10.268367
4,10.282933
4,10.294467
4,10.3821
4,10.4401
4,10.455333
4,10.456667
4,10.4609
4,10.470033
4,10.6759
4,10.6917
4,10.696933
4,10.778667
4,10.7858
4,10.797933
4,10.916833
4,10.925167
4,10.954667
4,10.9607
4,11.055733
4,11.062733
4,11.0703
4,11.149133
4,11.157167
4,11.1661
4,11.488667
4,11.5044
4,11.510833
4,11.5158
4,11.616933
